Concepto,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov
       1.1 Alimentos y bebidas no alcohólicas     ,119.31,119.23,119.81,120.3,120.62,120.31,120.35,119.92,119.68,119.85,119.86,119.95,121.82,121.17,120.6,120.03,119.98,119.63,119.25,118.69,117.62,117.8,117.4,117.08,117.7,118.59,119.13,119.53,119.55,120.1,120.78,119.62,119.15,119.2,120.01,120,119.82,120,119.93,119.68,119.5,119.26,119.89,120.81,120.84,120.22,120.56,120.44,120.81,121.12,121.39,121.71,122.29,122.61,121.82,120.79,120.64,121.08,121.48,121.88,122.35,122.22,122.68,124.24,125.06,126.14,125.84,123.33,122.36,121.89,122.24,122.33,122.5,123.12,124.09,124.19,123.97,124.85,125.76,125.93,127.18,129.29,131.31,132.07,133.47,134.76,136.26,137.71,140.43,142.79,143.6,144.19,144.41,145.86,147.15,148.24,149.77,151.75,152.1,151.98,152.16,152.69,152.79,153,153.05,154.48,154.07,154.13,155.17,155.01,155.46,155.53,156.28,158.24,159.71,157.78,154.9,153.96,152.98
"       1.2 Bebidas alcohólicas, tabaco     ",135.29,135.29,135.18,134.88,135.6,135.39,136.08,136.87,137.71,138.68,138.42,138.09,139.14,140.38,140.35,140.86,140.69,140.49,141.77,141.8,143.34,143.82,143.63,143.43,142.02,143.7,144.54,144.66,145.61,144.96,144.66,144.77,143.91,144.24,144.03,143.76,144.13,144.12,145.34,145.87,145.99,145.64,146.2,145.9,145.99,146,145.59,145.84,147.3,146.86,146.84,147.11,147.74,148.21,149.24,150.04,150.05,150.11,149.9,150.54,151.89,151.81,152.29,152.01,153.09,152.72,154.65,154.56,152.64,153.4,153.59,153.87,154.49,155.21,155.63,155.4,155.2,156.36,156.2,156,157.11,157.36,157.57,157.67,157.83,158.9,159.92,160.16,159.83,160.87,162.66,162.46,162.78,164.67,165.57,164.42,166.64,166.6,166.03,167.05,168.48,169.05,169,169.74,169.54,170.43,170.82,171.59,171.01,171.02,171.19,170.83,170.44,170.1,170.08,171.18,172.42,173.57,173.24
       1.3 Prendas de vestir y calzado     ,101.72,101.66,101.75,101.57,101.13,100.59,99.97,99.73,99.05,98.6,98.56,98.71,98.63,98.6,98.2,97.94,97.77,97.17,96.86,96.41,96.18,96.15,96.12,96.17,95.97,95.95,95.81,95.66,95.45,95.59,95.3,94.93,94.67,94.35,94.18,94.37,94.46,94.27,94.14,93.9,93.72,93.62,93.37,93.05,92.99,92.82,92.77,92.74,92.76,92.93,92.89,92.9,92.69,92.57,92.42,92.13,91.42,91.44,91.17,91.03,91.09,91.43,91.88,91.84,91.84,91.84,91.84,91.84,92.05,92.55,92.6,92.75,93,93.5,93.84,93.98,94.35,94.5,94.71,94.86,94.85,95.11,95.46,95.85,96.28,96.91,97.13,97.38,97.72,98.07,98.4,98.75,98.65,99.15,99.54,99.85,100.08,99.71,99.44,99.8,99.58,99.66,99.71,99.76,100,100.22,100.41,100.51,100.56,100.79,100.8,100.63,100.6,100.84,100.71,100.9,100.75,100.94,100.71
"       1.4 Alojamiento, agua, electricidad, gas y otros combustibles     ",112.07,111.16,112.11,111.02,111.05,110.18,109.5,109.66,109.63,129.28,129.28,129.05,125.88,125.38,125.81,124.28,124.36,125.15,126.25,126.13,125.73,127.4,127.85,127.47,130.5,131.71,132.4,131.6,132.18,131.78,130.89,131.55,132.52,133,133.54,134.1,134.97,134.31,134.16,134.41,134.74,135.76,136.48,137.1,137.73,140.49,139.57,138.12,137.52,137.35,137.51,136.16,135.75,135.34,134.77,134.82,134.79,133.85,134.04,134.93,132.51,131.61,131.68,131.02,131.03,131.83,129.07,128.61,129,131.34,131.41,131.97,132.01,134.25,135.03,137.66,136.74,136.96,140.04,141.58,141.93,142.15,142.4,141.17,140.82,140.78,141.14,141.07,141.47,141.77,141.82,142.36,142.82,143.2,143.64,144.44,143.81,144.24,144.7,144.18,144.27,144.25,143.73,144.12,144.75,144.11,144.23,144.06,144.33,144.27,145.12,145.05,144.9,145.4,145.35,145.61,146.42,146.54,146.79
"       1.5 Muebles, artículos para el hogar y para la conservación ordinaria del hogar     ",102.95,103.12,103.27,103.27,103.31,103.5,103.03,103.08,103.11,102.86,102.52,102.67,102.13,102.63,103.08,101.83,101.28,101.13,100.51,100.46,99.87,99.79,100.13,100.52,100.9,100.91,100.96,101.33,101.19,100.98,101.59,101.2,100.98,100.88,101.25,101.25,101.84,101.57,101.66,101.41,100.99,100.86,100.77,100.61,100.43,100.24,100.36,100.14,100.29,100.52,100.16,100.25,100.3,99.86,99.73,99.64,99.63,99.48,99.16,98.94,99.16,99.54,99.98,100.08,100.13,100.02,99.83,100.23,100.39,100.07,100.17,100.92,101,101.98,102.74,103.46,103.81,104.38,105.06,105.3,106.45,106.94,107.25,107.55,109.08,109.96,111.66,111.93,113.3,114.42,115.06,116.18,116.57,116.29,116.22,116.5,116.86,115.77,115.86,115.73,114.96,114.7,114.5,114.82,114.95,115.1,114.96,114.48,114.15,114.14,113.96,114.09,113.51,112.8,112.87,113.23,113,112.84,112.37
       1.6 Salud     ,96.17,96.16,96.19,96.21,96.26,96.31,96.39,96.52,96.55,96.55,96.68,96.67,96.75,96.84,96.95,97.17,97.25,97.18,97.18,97.25,97.29,97.27,97.45,97.45,97.63,97.9,97.92,97.9,98.04,97.99,98.01,98.03,98.02,98.26,98.34,98.51,98.54,98.73,98.81,99.07,99.22,99.11,99.07,99.02,99.03,99.37,99.28,99.29,99.29,99.27,99.27,99.34,99.44,99.54,99.6,99.77,100.06,100.07,100.14,100.12,100.17,100.01,99.98,99.96,100.19,100.22,100.9,100.97,101.13,101.24,101.9,101.88,102.04,102.93,103.14,103.37,103.83,104.14,104.19,104.45,104.53,104.75,104.93,105.1,105.1,105.39,105.55,105.86,106.11,106.54,106.57,106.9,107.14,107.32,107.5,107.62,107.8,108.34,108.87,109.2,109.47,109.63,110.09,110.35,110.47,110.42,110.69,110.83,110.99,111.18,111.57,111.95,112.42,112.4,112.52,112.66,113.1,113.29,113.36
       1.7 Transporte     ,107.21,107.05,109.07,108.82,109.89,111.27,111.62,109.97,107.62,106.45,106.13,105.5,104.67,103.75,103.92,105.49,106.46,107.36,106.81,105.84,106.41,106.42,106.4,105.61,107.15,106.29,106.14,106.32,106.84,106.97,106.2,107.23,108.49,108.89,108.58,109.37,109.15,110.15,109.17,110.12,111.98,112.6,112.1,111.88,111.72,112.15,110.75,108.27,106.83,107.41,108.94,111.01,111.41,110.51,110.51,109.34,108.64,109.05,109.47,108.79,108.56,107.88,106.73,100.48,100.6,102.77,104.29,103.76,103.45,103.59,103.53,103.64,105.12,105.76,109.23,111.09,111.72,112.93,113.5,112.71,112.13,112.85,114.65,113.44,113.35,115.93,117.73,117.52,117.52,117.61,117.67,117.86,117.97,120.26,122.51,119.27,119.1,120.58,119.52,118.79,117.81,118.68,118.48,119.73,120.39,120.62,122.34,114.17,114.66,116.87,114.99,117.56,117.76,116.08,115.08,114.53,115.22,114.19,115.14
       1.8 Comunicaciones     ,86.47,86.47,86.43,86.46,86.46,86.19,86.37,86.37,86.37,86.33,86.36,86.29,86.29,86.24,86.24,86.24,86.19,86.19,85.85,86.06,86.07,86.04,86.04,86.04,86.04,86.04,85.43,85.43,85.47,85.21,85.21,85.21,85.16,85.16,85.16,85.12,85.12,85.12,85.07,85.06,85.06,85.06,84.96,84.96,84.77,84.77,84.69,84.69,84.64,84.32,84.32,84.32,84.31,84.1,83.78,83.78,83.78,83.89,83.89,83.7,83.2,83.16,83.16,83.2,83.17,83.17,82.99,82.99,83.03,83.19,83.19,83.17,83.12,83.12,83.12,83.12,83.11,83.11,83.09,83.09,83.09,83.09,83.09,83.06,83.06,83.03,83.03,83.01,83.01,83.01,83.01,83.01,82.5,82.63,82.59,82.27,82.27,81.81,81.7,81.7,81.64,81.54,81.68,81.35,81.28,81.08,80.86,81.01,81.01,81.08,80.96,80.96,80.96,80.96,80.68,80.62,80.52,80.52,80.52
       1.9 Recreación y cultura     ,92.9,92.95,92.46,92.52,92.33,92.01,91.79,91.61,91.39,91.59,91.49,91.08,91.09,90.96,90.94,90.6,90.32,90.46,90.17,89.9,89.68,89.6,89.65,89.42,89.43,89.17,89.13,89,88.99,89.03,88.55,88.27,88.26,88.27,88.16,87.89,87.95,88.17,88.14,88.09,87.75,88.01,87.84,87.69,87.65,87.35,87.37,87.4,87.77,88.71,88.48,88.72,88.75,88.08,88.14,88.18,87.97,87.81,87.72,87.58,87.63,87.89,87.74,87.67,87.6,87.65,87.81,88.29,87.68,88.02,88.08,88.14,88.06,87.86,88.11,88.51,88.77,89.12,89.11,88.98,89.14,89.27,89.73,90.67,92.5,93.57,94.15,95.21,95.97,96.39,97.23,97.54,97.8,98.52,98.24,97.94,97.9,98.39,98.58,98.14,97.81,97.61,97.15,96.56,96.21,96.36,96.02,95.86,95.88,95.46,95.31,95.17,95.19,95.27,94.88,94.44,94.34,93.98,93.62
       1.10 Educación     ,109.49,109.49,109.49,109.49,110.29,110.29,110.29,110.29,110.29,110.25,110.25,110.25,110.77,110.77,110.77,110.77,112.15,112.15,112.15,112.15,112.15,112.44,112.44,112.44,112.81,112.81,112.81,112.81,113.39,113.39,113.39,113.39,113.39,113.56,113.56,113.56,113.97,113.97,113.97,113.97,112.86,112.86,112.86,112.86,112.86,112.83,112.83,112.83,113.27,113.27,113.27,113.27,113.27,113.27,113.27,113.27,113.27,113.65,113.65,113.65,114.06,114.06,114.06,114.06,114.06,114.06,114.06,114.06,114.06,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.26,114.31,114.31,114.31,114.31,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.53,116.53,116.53,116.53,116.53,116.53,116.53,116.53
       1.11 Restaurantes y hoteles     ,115.56,115.53,115.64,116.15,116.24,116.22,116.55,116.5,116.54,116.66,116.95,116.95,117.26,117.43,117.73,117.73,117.7,117.98,118.05,118.54,118.56,118.75,118.67,118.75,119.25,119.32,119.45,119.59,119.92,119.7,119.75,120,120.19,120.45,120.55,120.67,121.09,121.41,121.64,121.69,121.89,122.09,121.94,122.19,122.29,122.94,122.7,122.81,123.41,123.37,123.54,123.49,123.57,123.55,123.63,123.59,123.5,123.58,123.54,123.93,124.32,124.44,124.44,124.5,124.61,124.7,125.04,125.34,125.52,125.52,125.8,126.01,126.36,126.65,126.97,127.49,127.95,129.19,129.73,130.46,131.3,131.96,132.79,133.61,135.06,135.56,136.16,136.66,137.08,138.6,139.51,140.38,141.55,141.98,143.15,144.47,144.87,145.59,146.02,147.05,147.38,148.32,148.84,149.55,150.4,151.45,152.59,152.88,153.4,153.9,154.77,155.19,155.86,156.52,157.92,158.27,158.45,158.44,159
       1.12 Bienes y servicios diversos     ,105.38,105.62,106.04,106.1,106.14,105.87,105.77,105.39,105.13,105.42,105,105.17,105.86,105.8,105.55,105.55,105.49,105.59,105.63,105.68,105.45,105.59,105.73,105.69,105.81,106.02,106.45,106.83,107.05,107.01,107.05,107.07,107.03,107.04,106.95,107.29,107.35,107.13,107.32,106.99,107.02,107.01,107.21,107.44,107.55,107.55,107.75,107.6,107.39,107.4,107.55,107.36,107.13,107.22,107.26,107.4,107.48,107.42,107.4,107.3,107.37,107.55,108.21,108.38,108.39,108.46,109.45,109.67,109.42,109.65,109.65,109.99,110.25,110.37,110.19,110.34,110.36,111.16,111.8,112.28,112.23,112.89,113.42,114.04,114.44,115.28,116.29,117.58,118.41,119.46,120.55,121.92,122.64,123.58,124.93,125.3,125.91,125.93,126.37,126.19,126.37,126.47,126.73,126.32,126.17,126.51,126.51,126.53,126.83,126.74,126.92,126.76,127.07,127.01,127.47,127.32,127.61,127.51,127.76
